index,latency,recv-time,recv-size
1,0.000524,0.000524,1642206282077456811,18
2,0.000492,3.200000000000002e-05,1642206282173829686,18
3,0.000298,0.00019400000000000005,1642206282273620048,18
4,0.000501,0.00020300000000000006,1642206282374249947,18
5,0.000331,0.00017,1642206282474226935,18
6,0.000503,0.00017199999999999995,1642206282574920869,18
7,0.000496,6.999999999999953e-06,1642206282675249829,18
8,0.000494,2.0000000000000486e-06,1642206282775590979,18
9,0.000607,0.00011300000000000004,1642206282876230890,18
10,0.00048,0.000127,1642206282976219268,18
11,0.00038,9.999999999999999e-05,1642206283076389681,18
12,0.000529,0.00014899999999999994,1642206283176934386,18
13,0.000366,0.00016299999999999995,1642206283276991973,18
14,0.000472,0.00010599999999999997,1642206283377486951,18
15,0.000351,0.00012099999999999996,1642206283477517641,18
16,0.000526,0.00017499999999999997,1642206283578190753,18
17,0.000421,0.000105,1642206283678289905,18
18,0.000343,7.8e-05,1642206283778426853,18
19,0.000363,1.9999999999999998e-05,1642206283878815832,18
20,0.00037,7.0000000000000075e-06,1642206283979124112,18
21,0.000361,9.000000000000002e-06,1642206284079428928,18
22,0.000304,5.6999999999999976e-05,1642206284179538038,18
23,0.000347,4.299999999999996e-05,1642206284279973161,18
24,0.000343,3.999999999999989e-06,1642206284380283364,18
25,0.000344,1.0000000000000243e-06,1642206284480598299,18
26,0.000356,1.1999999999999966e-05,1642206284580961437,18
27,0.000384,2.800000000000003e-05,1642206284681381696,18
28,0.000511,0.00012699999999999994,1642206284781928358,18
29,0.000358,0.00015299999999999998,1642206284881873128,18
30,0.000357,9.9999999999997e-07,1642206284982175546,18
31,0.000344,1.299999999999999e-05,1642206285082534537,18
32,0.000509,0.000165,1642206285183156952,18
33,0.00035,0.00015900000000000002,1642206285283081310,18
34,0.000475,0.000125,1642206285383655952,18
35,0.000473,1.9999999999999944e-06,1642206285484026412,18
36,0.000475,1.9999999999999944e-06,1642206285584332320,18
37,0.000283,0.000192,1642206285684265454,18
38,0.000479,0.000196,1642206285785052290,18
39,0.000476,2.9999999999999645e-06,1642206285885439616,18
40,0.000467,9.000000000000002e-06,1642206285985708454,18
41,0.000463,4.000000000000043e-06,1642206286085981323,18
42,0.000474,1.0999999999999996e-05,1642206286186319566,18
43,0.000469,4.999999999999959e-06,1642206286286652981,18
44,0.000477,7.999999999999978e-06,1642206286386920418,18
45,0.000469,7.999999999999978e-06,1642206286487276704,18
46,0.000346,0.000123,1642206286587271170,18
47,0.000523,0.00017700000000000002,1642206286687954902,18
48,0.000485,3.8e-05,1642206286788187089,18
49,0.000471,1.4000000000000015e-05,1642206286888490860,18
50,0.00047,1.0000000000000243e-06,1642206286988822987,18
51,0.000469,9.9999999999997e-07,1642206287089118550,18
52,0.000491,2.1999999999999993e-05,1642206287189538248,18
53,0.000473,1.8000000000000004e-05,1642206287289798627,18
54,0.000482,9.000000000000002e-06,1642206287390150946,18
55,0.000349,0.00013299999999999998,1642206287490202150,18
56,0.000475,0.00012599999999999997,1642206287590876735,18
57,0.000471,3.999999999999989e-06,1642206287691142241,18
58,0.000479,7.999999999999978e-06,1642206287791483566,18
59,0.00047,9.000000000000002e-06,1642206287891778910,18
60,0.000472,1.9999999999999944e-06,1642206287992116600,18
61,0.000386,8.599999999999998e-05,1642206288092322029,18
62,0.000474,8.799999999999997e-05,1642206288192818411,18
63,0.000471,2.9999999999999645e-06,1642206288293153661,18
64,0.000347,0.00012400000000000003,1642206288393198338,18
65,0.000483,0.000136,1642206288493849005,18
66,0.000368,0.00011499999999999998,1642206288593997305,18
67,0.000403,3.499999999999998e-05,1642206288694326598,18
68,0.000422,1.9000000000000028e-05,1642206288794788870,18
69,0.000387,3.500000000000004e-05,1642206288894999647,18
70,0.000342,4.4999999999999955e-05,1642206288995193312,18
71,0.000363,2.099999999999997e-05,1642206289095533357,18
72,0.000363,0.0,1642206289195796646,18
73,0.000345,1.8000000000000004e-05,1642206289296095089,18
74,0.000344,9.9999999999997e-07,1642206289396434263,18
75,0.000349,5.000000000000013e-06,1642206289496733933,18
76,0.000361,1.1999999999999966e-05,1642206289597152521,18
77,0.000361,0.0,1642206289697474462,18
78,0.000384,2.3000000000000017e-05,1642206289797737359,18
79,0.000524,0.00014000000000000004,1642206289898347129,18
80,0.000302,0.00022200000000000003,1642206289998188567,18
81,0.000486,0.00018399999999999997,1642206290098896089,18
82,0.000473,1.299999999999999e-05,1642206290199123356,18
83,0.000468,5.000000000000013e-06,1642206290299471896,18
84,0.000466,1.9999999999999944e-06,1642206290399751884,18
85,0.000465,9.9999999999997e-07,1642206290500072242,18
86,0.000494,2.8999999999999946e-05,1642206290600540374,18
87,0.000477,1.699999999999998e-05,1642206290700773587,18
88,0.000486,9.000000000000002e-06,1642206290801224215,18
89,0.000482,3.999999999999989e-06,1642206290901523240,18
90,0.000366,0.000116,1642206291001547006,18
91,0.000465,9.900000000000002e-05,1642206291102153576,18
92,0.000475,9.999999999999972e-06,1642206291202485606,18
93,0.000395,7.999999999999999e-05,1642206291302580743,18
94,0.000506,0.00011100000000000004,1642206291403175179,18
95,0.000339,0.00016700000000000005,1642206291503101051,18
96,0.000437,9.8e-05,1642206291603695618,18
97,0.000548,0.00011099999999999999,1642206291704254201,18
98,0.000482,6.599999999999998e-05,1642206291804469464,18
99,0.000468,1.4000000000000015e-05,1642206291904664740,18
100,0.000483,1.4999999999999985e-05,1642206292005077879,18
101,0.000482,9.9999999999997e-07,1642206292105465396,18
