index,latency,recv-time,recv-size
1,0.000304,0.000304,1642206188939981567,18
2,0.000521,0.00021699999999999996,1642206189040619815,18
3,0.000483,3.8e-05,1642206189140914620,18
4,0.000504,2.1000000000000023e-05,1642206189241242090,18
5,0.000481,2.3000000000000017e-05,1642206189341518054,18
6,0.000409,7.199999999999996e-05,1642206189441671823,18
7,0.000399,1.0000000000000026e-05,1642206189542068711,18
8,0.000486,8.7e-05,1642206189642588749,18
9,0.000523,3.700000000000003e-05,1642206189742980662,18
10,0.000481,4.2000000000000045e-05,1642206189843231773,18
11,0.000489,7.999999999999978e-06,1642206189943599359,18
12,0.000526,3.700000000000003e-05,1642206190044012328,18
13,0.000394,0.000132,1642206190144049144,18
14,0.000479,8.5e-05,1642206190244570995,18
15,0.000349,0.00012999999999999996,1642206190344652643,18
16,0.000502,0.00015299999999999992,1642206190445233164,18
17,0.000479,2.2999999999999963e-05,1642206190545562096,18
18,0.000484,5.000000000000013e-06,1642206190645933685,18
19,0.00048,3.999999999999989e-06,1642206190746247598,18
20,0.00045,3.0000000000000024e-05,1642206190846522077,18
21,0.000382,6.799999999999997e-05,1642206190946663271,18
22,0.000342,3.9999999999999996e-05,1642206191046948867,18
23,0.000344,1.9999999999999944e-06,1642206191147256377,18
24,0.00036,1.600000000000001e-05,1642206191247649823,18
25,0.000357,3.0000000000000187e-06,1642206191347959769,18
26,0.000369,1.200000000000002e-05,1642206191448281396,18
27,0.000359,1.0000000000000026e-05,1642206191548656811,18
28,0.000405,4.599999999999998e-05,1642206191649002672,18
29,0.000373,3.1999999999999965e-05,1642206191749242234,18
30,0.000322,5.099999999999999e-05,1642206191849524389,18
31,0.000316,6.000000000000037e-06,1642206191949795157,18
32,0.000374,5.8e-05,1642206192050240318,18
33,0.000379,5.000000000000013e-06,1642206192150530493,18
34,0.000478,9.900000000000002e-05,1642206192251054033,18
35,0.00047,8.000000000000032e-06,1642206192351339306,18
36,0.000472,1.9999999999999944e-06,1642206192451641013,18
37,0.000486,1.4000000000000015e-05,1642206192552044300,18
38,0.00048,5.999999999999983e-06,1642206192652361865,18
39,0.000473,7.0000000000000075e-06,1642206192752720095,18
40,0.000487,1.4000000000000015e-05,1642206192853050120,18
41,0.000495,7.999999999999978e-06,1642206192953339040,18
42,0.000479,1.600000000000001e-05,1642206193053675719,18
43,0.000475,3.999999999999989e-06,1642206193153949501,18
44,0.000516,4.0999999999999967e-05,1642206193254391957,18
45,0.000471,4.4999999999999955e-05,1642206193354601798,18
46,0.000476,5.000000000000013e-06,1642206193454924887,18
47,0.000478,1.9999999999999944e-06,1642206193555266109,18
48,0.000477,1.0000000000000243e-06,1642206193655606818,18
49,0.000476,9.9999999999997e-07,1642206193755945880,18
50,0.000385,9.100000000000004e-05,1642206193856077191,18
51,0.000292,9.299999999999998e-05,1642206193956203284,18
52,0.000378,8.600000000000003e-05,1642206194056768076,18
53,0.000495,0.00011699999999999997,1642206194157267932,18
54,0.000354,0.000141,1642206194257298483,18
55,0.000468,0.000114,1642206194357890424,18
56,0.000473,5.000000000000013e-06,1642206194458240644,18
57,0.000471,1.9999999999999944e-06,1642206194558576646,18
58,0.000481,9.999999999999972e-06,1642206194658909929,18
59,0.00048,9.9999999999997e-07,1642206194759160909,18
60,0.000506,2.6000000000000036e-05,1642206194859571206,18
61,0.000469,3.700000000000003e-05,1642206194959794478,18
62,0.000491,2.1999999999999993e-05,1642206195060182387,18
63,0.000526,3.499999999999998e-05,1642206195160623886,18
64,0.000345,0.000181,1642206195260627211,18
65,0.000335,9.999999999999972e-06,1642206195360921406,18
66,0.000531,0.000196,1642206195461664648,18
67,0.000351,0.00017999999999999998,1642206195561656655,18
68,0.000481,0.00012999999999999996,1642206195662220994,18
69,0.000475,5.999999999999983e-06,1642206195762541744,18
70,0.000414,6.100000000000002e-05,1642206195862773361,18
71,0.000468,5.400000000000001e-05,1642206195963151805,18
72,0.000476,8.000000000000032e-06,1642206196063483090,18
73,0.000345,0.00013100000000000004,1642206196163603764,18
74,0.000349,4.000000000000043e-06,1642206196263950936,18
75,0.000349,0.0,1642206196364307435,18
76,0.000379,2.999999999999997e-05,1642206196464669267,18
77,0.000339,3.9999999999999996e-05,1642206196564901647,18
78,0.000356,1.699999999999998e-05,1642206196665165974,18
79,0.000364,8.000000000000032e-06,1642206196765576534,18
80,0.000366,1.9999999999999944e-06,1642206196865876769,18
81,0.000346,1.9999999999999998e-05,1642206196966104493,18
82,0.000421,7.499999999999998e-05,1642206197066617255,18
83,0.00035,7.099999999999999e-05,1642206197166781158,18
84,0.000324,2.599999999999998e-05,1642206197267041618,18
85,0.000391,6.7e-05,1642206197367486532,18
86,0.000376,1.500000000000004e-05,1642206197467766147,18
87,0.000387,1.0999999999999996e-05,1642206197568125224,18
88,0.000322,6.499999999999995e-05,1642206197668323657,18
89,0.000501,0.00017900000000000001,1642206197769007124,18
90,0.000482,1.9000000000000028e-05,1642206197869276963,18
91,0.00047,1.200000000000002e-05,1642206197969490133,18
92,0.000494,2.3999999999999987e-05,1642206198069944744,18
93,0.000475,1.8999999999999974e-05,1642206198170198311,18
94,0.000342,0.00013299999999999998,1642206198270228400,18
95,0.000475,0.00013299999999999998,1642206198370836222,18
96,0.000473,1.9999999999999944e-06,1642206198471112629,18
97,0.000478,5.000000000000013e-06,1642206198571513469,18
98,0.000391,8.7e-05,1642206198671675662,18
99,0.000477,8.599999999999998e-05,1642206198772116402,18
100,0.000488,1.0999999999999996e-05,1642206198872607315,18
101,0.000323,0.000165,1642206198972579275,18
