index,latency,recv-time,recv-size
1,0.000669,0.000669,1642207968142279464,18
2,0.00041,0.000259,1642207968238183465,18
3,0.000495,8.5e-05,1642207968338542075,18
4,0.000459,3.600000000000001e-05,1642207968438744706,18
5,0.000434,2.500000000000001e-05,1642207968538981637,18
6,0.000469,3.500000000000004e-05,1642207968639374873,18
7,0.00041,5.9000000000000025e-05,1642207968739618186,18
8,0.000467,5.700000000000003e-05,1642207968840044042,18
9,0.000448,1.9000000000000028e-05,1642207968940323760,18
10,0.000438,9.999999999999972e-06,1642207969040709500,18
11,0.000418,1.9999999999999998e-05,1642207969140953267,18
12,0.000414,4.000000000000043e-06,1642207969241373587,18
13,0.000435,2.1000000000000023e-05,1642207969341672061,18
14,0.00036,7.499999999999998e-05,1642207969441784918,18
15,0.000536,0.000176,1642207969542446628,18
16,0.000426,0.00011000000000000002,1642207969642511344,18
17,0.000493,6.699999999999995e-05,1642207969743015783,18
18,0.000517,2.400000000000004e-05,1642207969843388847,18
19,0.000493,2.400000000000004e-05,1642207969943671571,18
20,0.000533,4.0000000000000105e-05,1642207970044134735,18
21,0.000552,1.899999999999992e-05,1642207970144472901,18
22,0.000503,4.9e-05,1642207970244732718,18
23,0.000504,1.0000000000000243e-06,1642207970344991533,18
24,0.00052,1.5999999999999955e-05,1642207970445414009,18
25,0.000523,3.000000000000073e-06,1642207970545799853,18
26,0.000547,2.3999999999999933e-05,1642207970646176921,18
27,0.000489,5.8e-05,1642207970746395871,18
28,0.000425,6.399999999999998e-05,1642207970846576404,18
29,0.000519,9.400000000000006e-05,1642207970947349541,18
30,0.000502,1.7000000000000088e-05,1642207971047453004,18
31,0.00049,1.1999999999999966e-05,1642207971147704504,18
32,0.000551,6.0999999999999965e-05,1642207971248214982,18
33,0.000516,3.499999999999998e-05,1642207971348423936,18
34,0.000517,1.0000000000000243e-06,1642207971448705203,18
35,0.000524,7.000000000000062e-06,1642207971549085042,18
36,0.000506,1.8000000000000004e-05,1642207971649390183,18
37,0.000513,6.999999999999953e-06,1642207971749825933,18
38,0.000499,1.4000000000000015e-05,1642207971850095450,18
39,0.00042,7.899999999999997e-05,1642207971950212109,18
40,0.000491,7.099999999999999e-05,1642207972050724563,18
41,0.000504,1.299999999999999e-05,1642207972151097440,18
42,0.000536,3.200000000000002e-05,1642207972251545668,18
43,0.000557,2.099999999999997e-05,1642207972351899665,18
44,0.000507,5.000000000000002e-05,1642207972452121621,18
45,0.000513,6.000000000000037e-06,1642207972552431658,18
46,0.000532,1.9000000000000028e-05,1642207972652803258,18
47,0.000513,1.9000000000000028e-05,1642207972753153940,18
48,0.000512,1.0000000000000243e-06,1642207972853493252,18
