index,latency,recv-time,recv-size
1,0.000561,0.000561,1642206318469176868,18
2,0.001756,0.0011949999999999999,1642206318568109525,18
3,0.000355,0.001401,1642206318665609231,18
4,0.000341,1.4000000000000015e-05,1642206318765882574,18
5,0.000374,3.299999999999999e-05,1642206318866309116,18
6,0.000477,0.00010300000000000001,1642206318966791854,18
7,0.000494,1.699999999999998e-05,1642206319067207934,18
8,0.000323,0.00017099999999999998,1642206319167129748,18
9,0.000477,0.000154,1642206319267706380,18
10,0.000421,5.6000000000000006e-05,1642206319368014429,18
11,0.000397,2.3999999999999987e-05,1642206319468274120,18
12,0.000355,4.199999999999999e-05,1642206319568530632,18
13,0.000362,7.0000000000000075e-06,1642206319668838360,18
14,0.000296,6.600000000000003e-05,1642206319769004165,18
15,0.000408,0.00011200000000000001,1642206319869573075,18
16,0.000362,4.599999999999998e-05,1642206319969799940,18
17,0.000326,3.600000000000001e-05,1642206320070004885,18
18,0.000352,2.599999999999998e-05,1642206320170424437,18
19,0.000455,0.00010300000000000001,1642206320270973716,18
20,0.000518,6.300000000000001e-05,1642206320371348633,18
21,0.00034,0.000178,1642206320471343634,18
22,0.000486,0.00014599999999999997,1642206320571978338,18
23,0.000325,0.000161,1642206320672021426,18
24,0.000529,0.00020399999999999997,1642206320772667436,18
25,0.000481,4.7999999999999974e-05,1642206320872945195,18
26,0.000471,9.999999999999972e-06,1642206320973210236,18
27,0.000539,6.799999999999997e-05,1642206321073698126,18
28,0.000526,1.299999999999999e-05,1642206321173945802,18
29,0.000347,0.00017900000000000001,1642206321273957990,18
30,0.000476,0.00012900000000000005,1642206321374547997,18
31,0.001905,0.001429,1642206321477713805,18
32,0.000487,0.001418,1642206321575239285,18
33,0.000473,1.4000000000000015e-05,1642206321675507657,18
34,0.000478,5.000000000000013e-06,1642206321775860640,18
35,0.000457,2.1000000000000023e-05,1642206321876128401,18
36,0.000507,4.999999999999997e-05,1642206321976528434,18
37,0.000311,0.00019599999999999994,1642206322076471148,18
38,0.000475,0.00016399999999999997,1642206322177142650,18
39,0.000434,4.100000000000002e-05,1642206322277376304,18
40,0.000353,8.099999999999996e-05,1642206322377624476,18
41,0.000451,9.8e-05,1642206322478126873,18
42,0.000398,5.299999999999999e-05,1642206322578388805,18
43,0.000353,4.500000000000001e-05,1642206322678595686,18
44,0.000357,3.999999999999989e-06,1642206322778897119,18
45,0.000347,1.0000000000000026e-05,1642206322879164652,18
46,0.000367,1.9999999999999998e-05,1642206322979513814,18
47,0.000383,1.600000000000001e-05,1642206323079817878,18
48,0.000335,4.7999999999999974e-05,1642206323180073274,18
49,0.00046,0.000125,1642206323280711129,18
50,0.000477,1.699999999999998e-05,1642206323381012902,18
51,0.000476,9.9999999999997e-07,1642206323481259533,18
52,0.00048,3.999999999999989e-06,1642206323581594422,18
53,0.000518,3.8e-05,1642206323681976048,18
54,0.000375,0.000143,1642206323781989115,18
55,0.000385,9.999999999999972e-06,1642206323882458519,18
56,0.000472,8.7e-05,1642206323982834964,18
57,0.000503,3.0999999999999995e-05,1642206324083267302,18
58,0.000488,1.4999999999999985e-05,1642206324183528161,18
59,0.000481,7.0000000000000075e-06,1642206324283771751,18
60,0.000398,8.299999999999996e-05,1642206324384058598,18
61,0.000386,1.200000000000002e-05,1642206324484300237,18
62,0.000389,3.0000000000000187e-06,1642206324584681701,18
63,0.000486,9.699999999999997e-05,1642206324685220503,18
64,0.000548,6.199999999999999e-05,1642206324785618370,18
65,0.000521,2.7000000000000006e-05,1642206324885870601,18
66,0.000524,3.000000000000073e-06,1642206324986117713,18
67,0.000353,0.00017100000000000004,1642206325086129572,18
68,0.000471,0.000118,1642206325186757477,18
69,0.000529,5.7999999999999946e-05,1642206325287178785,18
70,0.000474,5.499999999999998e-05,1642206325387425613,18
71,0.000373,0.00010099999999999996,1642206325487460355,18
72,0.000477,0.00010399999999999998,1642206325588054085,18
73,0.000487,1.0000000000000026e-05,1642206325688349842,18
74,0.000515,2.800000000000003e-05,1642206325788713538,18
75,0.000473,4.2000000000000045e-05,1642206325888933617,18
76,0.000469,3.999999999999989e-06,1642206325989246748,18
77,0.000358,0.00011100000000000004,1642206326089343902,18
78,0.000523,0.00016500000000000005,1642206326190010831,18
79,0.0005,2.3000000000000017e-05,1642206326290257877,18
80,0.000361,0.00013900000000000002,1642206326390299947,18
81,0.00034,2.099999999999997e-05,1642206326490595096,18
82,0.000389,4.9e-05,1642206326591072814,18
83,0.000489,9.999999999999994e-05,1642206326691553150,18
84,0.000475,1.399999999999996e-05,1642206326791949679,18
85,0.000508,3.299999999999999e-05,1642206326892357181,18
86,0.000507,1.0000000000000243e-06,1642206326992646342,18
87,0.000335,0.00017199999999999995,1642206327092626968,18
88,0.000359,2.3999999999999987e-05,1642206327192932338,18
89,0.000481,0.00012199999999999998,1642206327293512326,18
90,0.000435,4.599999999999998e-05,1642206327393769759,18
91,0.000362,7.299999999999999e-05,1642206327493940169,18
92,0.00035,1.200000000000002e-05,1642206327594296401,18
93,0.00035,0.0,1642206327694586812,18
94,0.000341,9.000000000000002e-06,1642206327794924467,18
95,0.000372,3.0999999999999995e-05,1642206327895255921,18
96,0.000504,0.000132,1642206327995808156,18
97,0.000355,0.000149,1642206328095998460,18
98,0.000413,5.8e-05,1642206328196284973,18
99,0.000343,7.000000000000002e-05,1642206328296446297,18
100,0.000332,1.0999999999999996e-05,1642206328396694393,18
101,0.00038,4.800000000000003e-05,1642206328497079922,18
