index,latency,recv-time,recv-size
1,0.000554,0.000554,1642208036225455088,18
2,0.000536,1.8000000000000004e-05,1642208036322087998,18
3,0.000367,0.00016900000000000004,1642208036422016197,18
4,0.000513,0.00014600000000000003,1642208036522605948,18
5,0.000507,6.000000000000037e-06,1642208036622961037,18
6,0.000509,2.0000000000000486e-06,1642208036723327707,18
7,0.00029,0.000219,1642208036823142933,18
8,0.000482,0.000192,1642208036923861883,18
9,0.000557,7.499999999999998e-05,1642208037024389252,18
10,0.000554,2.9999999999999645e-06,1642208037124762302,18
11,0.000495,5.9000000000000025e-05,1642208037224939600,18
12,0.000435,5.9999999999999995e-05,1642208037325128488,18
13,0.000419,1.600000000000001e-05,1642208037425480939,18
14,0.000362,5.6999999999999976e-05,1642208037525661650,18
15,0.000229,0.000133,1642208037625707781,18
16,0.000374,0.00014499999999999997,1642208037726290432,18
17,0.000393,1.9000000000000028e-05,1642208037826604780,18
18,0.00041,1.699999999999998e-05,1642208037926999280,18
19,0.000352,5.8e-05,1642208038027163292,18
20,0.000418,6.600000000000003e-05,1642208038127675754,18
21,0.000428,9.999999999999972e-06,1642208038228027442,18
22,0.00038,4.7999999999999974e-05,1642208038328238347,18
23,0.000328,5.200000000000002e-05,1642208038428450873,18
24,0.000509,0.000181,1642208038529084939,18
25,0.000483,2.6000000000000036e-05,1642208038629341963,18
26,0.000496,1.3000000000000045e-05,1642208038729733802,18
27,0.000505,9.000000000000002e-06,1642208038830121491,18
28,0.000498,7.000000000000062e-06,1642208038930289986,18
29,0.00046,3.799999999999995e-05,1642208039030554066,18
30,0.000518,5.8e-05,1642208039131089352,18
31,0.000306,0.000212,1642208039230922714,18
32,0.000495,0.00018899999999999999,1642208039331620484,18
33,0.000509,1.4000000000000015e-05,1642208039431956263,18
34,0.000521,1.1999999999999966e-05,1642208039532319485,18
35,0.000462,5.899999999999997e-05,1642208039632657704,18
36,0.000362,9.999999999999999e-05,1642208039732728691,18
37,0.000488,0.00012599999999999997,1642208039833263118,18
38,0.000528,4.000000000000005e-05,1642208039933699691,18
39,0.000312,0.00021600000000000005,1642208040033561826,18
40,0.000496,0.00018400000000000003,1642208040134261779,18
41,0.000395,0.00010100000000000002,1642208040234382693,18
42,0.000509,0.000114,1642208040334980094,18
43,0.000413,9.6e-05,1642208040435061288,18
44,0.000486,7.299999999999999e-05,1642208040535535284,18
45,0.000496,1.0000000000000026e-05,1642208040635893633,18
46,0.000502,5.999999999999929e-06,1642208040736266692,18
47,0.000418,8.399999999999993e-05,1642208040836415501,18
48,0.00054,0.00012199999999999998,1642208040937024925,18
49,0.000508,3.200000000000002e-05,1642208041037272980,18
50,0.00057,6.199999999999999e-05,1642208041137824352,18
51,0.000362,0.00020799999999999996,1642208041237689230,18
52,0.000534,0.00017199999999999995,1642208041338337468,18
53,0.000471,6.299999999999996e-05,1642208041438556828,18
54,0.000528,5.700000000000003e-05,1642208041539048047,18
55,0.000532,3.999999999999989e-06,1642208041639408051,18
56,0.000541,9.000000000000002e-06,1642208041739763436,18
57,0.00055,9.000000000000002e-06,1642208041840118435,18
58,0.000516,3.400000000000007e-05,1642208041940375767,18
59,0.000496,1.9999999999999944e-05,1642208042040662403,18
60,0.000569,7.299999999999993e-05,1642208042141193068,18
61,0.000457,0.00011199999999999996,1642208042241327091,18
62,0.000505,4.800000000000003e-05,1642208042341702701,18
63,0.000499,6.000000000000037e-06,1642208042442024948,18
64,0.000493,6.000000000000037e-06,1642208042542375127,18
65,0.000415,7.799999999999994e-05,1642208042642532588,18
66,0.000404,1.0999999999999996e-05,1642208042742875828,18
67,0.000427,2.3000000000000017e-05,1642208042843266291,18
68,0.000442,1.4999999999999985e-05,1642208042943613504,18
69,0.000364,7.8e-05,1642208043043780340,18
70,0.000391,2.7000000000000006e-05,1642208043144175789,18
71,0.000377,1.4000000000000015e-05,1642208043244473091,18
72,0.000416,3.899999999999997e-05,1642208043344935428,18
73,0.000381,3.499999999999998e-05,1642208043445162064,18
74,0.000553,0.000172,1642208043545856769,18
75,0.000551,2.0000000000000486e-06,1642208043646143263,18
76,0.000534,1.699999999999998e-05,1642208043746499436,18
77,0.000482,5.199999999999996e-05,1642208043846691621,18
78,0.000486,3.999999999999989e-06,1642208043947014234,18
79,0.000494,7.999999999999978e-06,1642208044047384801,18
80,0.000417,7.699999999999997e-05,1642208044147600491,18
81,0.000499,8.199999999999999e-05,1642208044248106155,18
82,0.000511,1.1999999999999966e-05,1642208044348442901,18
83,0.00055,3.900000000000008e-05,1642208044448909927,18
84,0.000512,3.8000000000000056e-05,1642208044549159676,18
85,0.00048,3.1999999999999965e-05,1642208044649376136,18
86,0.000529,4.8999999999999944e-05,1642208044749866420,18
87,0.000517,1.1999999999999966e-05,1642208044850086855,18
88,0.000388,0.000129,1642208044950215232,18
89,0.000488,9.999999999999999e-05,1642208045050766831,18
90,0.000497,9.000000000000056e-06,1642208045151110401,18
91,0.000537,3.9999999999999996e-05,1642208045251509538,18
92,0.000534,3.000000000000073e-06,1642208045351813611,18
93,0.000561,2.7000000000000006e-05,1642208045452183841,18
94,0.000479,8.199999999999999e-05,1642208045552353073,18
95,0.000481,1.9999999999999944e-06,1642208045652739415,18
96,0.000546,6.500000000000006e-05,1642208045753239780,18
97,0.000494,5.200000000000007e-05,1642208045853425457,18
98,0.000527,3.300000000000004e-05,1642208045953785626,18
99,0.00049,3.700000000000003e-05,1642208046054107703,18
100,0.00038,0.00010999999999999996,1642208046154220999,18
101,0.000413,3.299999999999999e-05,1642208046254652715,18
