index,latency,recv-time,recv-size
1,0.000584,0.000584,1642208150131595907,18
2,0.000506,7.799999999999994e-05,1642208150227863714,18
3,0.000486,2.0000000000000052e-05,1642208150328057618,18
4,0.000432,5.400000000000001e-05,1642208150428189678,18
5,0.000487,5.5000000000000036e-05,1642208150528715827,18
6,0.000368,0.00011900000000000002,1642208150628823494,18
7,0.000501,0.00013300000000000003,1642208150729420028,18
8,0.000498,3.000000000000073e-06,1642208150829711159,18
9,0.000364,0.00013399999999999995,1642208150929777226,18
10,0.00051,0.00014600000000000003,1642208151030490122,18
11,0.000366,0.00014400000000000003,1642208151130466454,18
12,0.000487,0.00012100000000000001,1642208151231057031,18
13,0.000421,6.600000000000003e-05,1642208151331278560,18
14,0.000353,6.799999999999997e-05,1642208151431461322,18
15,0.000401,4.7999999999999974e-05,1642208151531822411,18
16,0.00039,1.0999999999999996e-05,1642208151632228770,18
17,0.000369,2.099999999999997e-05,1642208151732510499,18
18,0.000423,5.399999999999996e-05,1642208151832918965,18
19,0.000311,0.00011199999999999996,1642208151932891639,18
20,0.000378,6.7e-05,1642208152033417411,18
21,0.000398,1.9999999999999998e-05,1642208152133786289,18
22,0.000335,6.300000000000001e-05,1642208152234016493,18
23,0.000361,2.599999999999998e-05,1642208152334341413,18
24,0.000392,3.0999999999999995e-05,1642208152434660838,18
25,0.000342,4.999999999999997e-05,1642208152534853592,18
26,0.000483,0.00014099999999999996,1642208152635466036,18
27,0.000401,8.199999999999999e-05,1642208152735769729,18
28,0.000352,4.9e-05,1642208152835889932,18
29,0.000358,5.999999999999983e-06,1642208152936249661,18
30,0.000339,1.8999999999999974e-05,1642208153036540943,18
31,0.000489,0.00014999999999999996,1642208153137206718,18
32,0.000502,1.299999999999999e-05,1642208153237601961,18
33,0.00033,0.00017199999999999995,1642208153337446394,18
34,0.000502,0.00017199999999999995,1642208153438163430,18
35,0.000484,1.799999999999995e-05,1642208153538505330,18
36,0.000478,5.999999999999983e-06,1642208153638746475,18
37,0.000493,1.4999999999999931e-05,1642208153739156531,18
38,0.000495,2.0000000000000486e-06,1642208153839503845,18
39,0.000358,0.00013700000000000002,1642208153939614201,18
40,0.000387,2.9e-05,1642208154039994340,18
41,0.000491,0.00010400000000000003,1642208154140575268,18
42,0.000548,5.6999999999999976e-05,1642208154241131174,18
43,0.000494,5.400000000000001e-05,1642208154341316114,18
44,0.000491,2.9999999999999645e-06,1642208154441640210,18
45,0.000502,1.0999999999999942e-05,1642208154541999759,18
46,0.000398,0.00010399999999999993,1642208154642062493,18
47,0.000372,2.6000000000000036e-05,1642208154742416612,18
48,0.000306,6.599999999999998e-05,1642208154842544762,18
49,0.000487,0.000181,1642208154943295724,18
50,0.000397,9.000000000000002e-05,1642208155043424641,18
51,0.000365,3.200000000000002e-05,1642208155143691978,18
52,0.000487,0.00012200000000000004,1642208155244328086,18
53,0.000359,0.00012800000000000002,1642208155344340945,18
54,0.000329,3.0000000000000024e-05,1642208155444629451,18
55,0.00054,0.00021100000000000003,1642208155545373624,18
56,0.000481,5.9000000000000025e-05,1642208155645615963,18
57,0.000487,6.000000000000037e-06,1642208155746031686,18
58,0.000395,9.200000000000001e-05,1642208155846109430,18
59,0.000372,2.3000000000000017e-05,1642208155946339002,18
60,0.000522,0.00015000000000000001,1642208156047014076,18
61,0.000402,0.00011999999999999999,1642208156147158012,18
62,0.000453,5.099999999999999e-05,1642208156247534274,18
63,0.000543,8.999999999999997e-05,1642208156348036454,18
64,0.000369,0.00017399999999999995,1642208156448017128,18
65,0.000357,1.200000000000002e-05,1642208156548325188,18
66,0.000365,7.999999999999978e-06,1642208156648661345,18
67,0.00037,5.000000000000013e-06,1642208156749078644,18
68,0.000364,5.999999999999983e-06,1642208156849379013,18
69,0.000321,4.3000000000000015e-05,1642208156949596755,18
70,0.000393,7.200000000000002e-05,1642208157050049779,18
71,0.000384,9.000000000000002e-06,1642208157150468513,18
72,0.000354,3.0000000000000024e-05,1642208157250718584,18
73,0.000342,1.1999999999999966e-05,1642208157350909738,18
74,0.000364,2.1999999999999993e-05,1642208157451288508,18
75,0.000478,0.000114,1642208157551840024,18
76,0.00036,0.000118,1642208157651905532,18
77,0.00037,9.999999999999972e-06,1642208157752263663,18
78,0.000498,0.00012799999999999997,1642208157852808315,18
79,0.000481,1.699999999999998e-05,1642208157953162182,18
80,0.000496,1.500000000000004e-05,1642208158053540112,18
81,0.000489,7.000000000000062e-06,1642208158153913311,18
82,0.000491,2.0000000000000486e-06,1642208158254216869,18
83,0.00048,1.0999999999999996e-05,1642208158354552415,18
84,0.000399,8.100000000000002e-05,1642208158454687805,18
85,0.000483,8.399999999999998e-05,1642208158555167182,18
86,0.000483,0.0,1642208158655515265,18
87,0.000393,8.999999999999997e-05,1642208158755692914,18
88,0.000374,1.9000000000000028e-05,1642208158855960864,18
89,0.000479,0.000105,1642208158956533075,18
90,0.000494,1.4999999999999985e-05,1642208159057172546,18
91,0.000495,1.0000000000000243e-06,1642208159157352161,18
92,0.000487,7.999999999999978e-06,1642208159257617956,18
93,0.000487,0.0,1642208159357933853,18
94,0.000483,4.000000000000043e-06,1642208159458241101,18
95,0.000354,0.000129,1642208159558376017,18
96,0.000538,0.00018399999999999997,1642208159659245258,18
97,0.000429,0.00010899999999999994,1642208159759379488,18
98,0.000418,1.0999999999999996e-05,1642208159859637563,18
99,0.000393,2.500000000000001e-05,1642208159959897592,18
100,0.000489,9.599999999999995e-05,1642208160060366304,18
101,0.000379,0.00010999999999999996,1642208160160559912,18
